datetime,Channel,Name,timestamp,tempC,pressurehPa,total_tips_since_start,volume_this_tipml,total_vol_since_startml,tips_this_day,vol_this_dayml,tips_this_hour,vol_this_hourml,net_gas_attributable_to_test_sample_since_startmlg
2022-12-12 13:10:22.817793,7,sleepy,45037,21.25,999.67,1,4.73,4.73,1,4.73,1,4.73,1.21
2022-12-12 13:10:39.425233,6,dopey,61660,21.50,999.70,1,4.57,4.57,1,4.57,1,4.57,1.92
2022-12-12 13:15:03.539706,7,sleepy,326050,21.50,999.66,2,4.73,9.46,2,9.46,2,9.46,2.41
2022-12-12 13:15:20.779087,6,dopey,343309,21.50,999.67,2,4.57,9.15,2,9.15,2,9.15,3.84
2022-12-12 13:21:44.459961,7,sleepy,727387,21.50,999.56,3,4.73,14.19,3,14.19,3,14.19,3.62
2022-12-12 13:22:00.286195,6,dopey,743230,21.50,999.56,3,4.57,13.72,3,13.72,3,13.72,5.76
2022-12-12 14:09:33.477798,card
2022-12-12 14:59:24.907620,7,sleepy,6054,21.25,999.83,1,4.73,4.73,1,4.73,1,4.73,1.21
2022-12-12 15:03:20.277316,7,sleepy,241666,21.25,999.80,2,4.73,9.47,2,9.47,2,9.47,2.41
2022-12-12 15:07:44.089280,7,sleepy,505755,21.25,999.81,3,4.73,14.20,3,14.20,3,14.20,3.62
2022-12-12 15:08:43.730651,7,sleepy,565456,21.25,999.84,4,4.73,18.93,4,18.93,4,18.93,4.83
2022-12-12 15:09:11.041701,7,sleepy,592795,21.25,999.86,5,4.73,23.67,5,23.67,5,23.67,6.04
2022-12-12 15:23:08.191342,7,sleepy,1430817,21.50,999.83,6,4.73,28.39,6,28.39,6,28.39,7.24
2022-12-12 15:23:24.013108,6,dopey,1446656,21.50,999.82,1,4.57,4.57,1,4.57,1,4.57,1.92
2022-12-12 15:28:00.164770,7,sleepy,1723094,21.50,999.89,7,4.73,33.12,7,33.12,7,33.12,8.45
2022-12-12 15:29:17.419382,7,sleepy,1800432,21.50,999.93,8,4.73,37.85,8,37.85,8,37.85,9.66
2022-12-12 15:34:01.872122,7,sleepy,2085182,21.25,999.96,9,4.73,42.59,9,42.59,9,42.59,10.86
2022-12-12 15:37:55.612251,7,sleepy,2319162,21.25,999.99,10,4.73,47.32,10,47.32,10,47.32,12.07
2022-12-12 15:42:35.016417,7,sleepy,2598858,21.25,999.94,11,4.73,52.05,11,52.05,11,52.05,13.28
2022-12-12 15:43:49.341296,7,sleepy,2673259,21.25,999.90,12,4.73,56.79,12,56.79,12,56.79,14.49
2022-12-12 15:47:55.193739,7,sleepy,2919367,21.25,999.86,13,4.73,61.52,13,61.52,13,61.52,15.69
2022-12-12 15:49:37.915,7,sleepy,3022194,21.25,999.88,14,4.73,66.25,14,66.25,14,66.25,16.90
2022-12-12 15:51:37.548049,7,sleepy,3141954,21.25,999.87,15,4.73,70.99,15,70.99,15,70.99,18.11
2022-12-12 15:59:14.543999,card
